,list_id,song_id,song_name,artist,popularity,release_date,list_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
22,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4j5jqhnfFefCWq6uWOpBLU,Elysian,JaguarTree,3,2022-03-24,Sanctuary Of Sounds,0.59,0.0568,180.041,0.0559,0.0259,0.933,0.589,555000,-11.547,0.0528,1,2
23,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5WMDrEscDgpPjz2wvHpACf,Golden Bow,Govinda,22,2022-01-03,Sanctuary Of Sounds,0.691,0.107,170.021,0.124,0.109,0.036,0.677,296471,-4.027,0.248,1,9
24,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7tES154YCbb89o6zbrmvdk,Dervish,Govinda,16,2010-09-21,Sanctuary Of Sounds,0.828,0.0939,120.009,0.0347,0.0852,0.336,0.667,362837,-6.464,0.353,0,9
25,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7hZhj3K9DjIcIZtfsjQFH5,Roots Of The Earth - Mose Remix,Liquid Bloom,33,2018-03-20,Sanctuary Of Sounds,0.535,0.227,106.009,0.0374,0.0708,0.773,0.702,896604,-11.106,0.388,1,1
26,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7AIQWPsKVYPpjBnbwKTePs,Rajas,WAYVES,3,2019-07-19,Sanctuary Of Sounds,0.535,0.116,115.048,0.0406,0.403,0.776,0.624,338087,-11.946,0.0344,1,1
27,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5xJFGskY14rabg52niKPaM,Across The Threshold,Flooting Grooves,31,2007-03-30,Sanctuary Of Sounds,0.731,0.57,173.994,0.0633,0.0123,0.629,0.649,448533,-11.693,0.638,0,10
28,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1eXiuSmk8isX6qdIXh9rhA,Liquid Grip,Akasha Experience,17,2014-06-23,Sanctuary Of Sounds,0.707,0.317,93.992,0.0446,0.0348,0.741,0.689,392872,-9.546,0.188,1,2
29,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1eXiuSmk8isX6qdIXh9rhA,Liquid Grip,Akasha Experience,17,2014-06-23,Sanctuary Of Sounds,0.707,0.317,93.992,0.0446,0.0348,0.741,0.689,392872,-9.546,0.188,1,2
30,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,2maNSe1WCIt5JMZe69obUM,Gayatri Mantra (Live),Sati Ethnica,4,2019-12-06,Sanctuary Of Sounds,0.499,0.642,79.859,0.0324,0.684,0.0823,0.335,436500,-10.032,0.0688,1,2
31,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,1jNCHGStHzFtr6KlDSTrrs,Alien Temples In Tibet - Original Mix,Sattyananda,0,2014-08-25,Sanctuary Of Sounds,0.838,0.145,104.001,0.053,0.00327,0.601,0.757,518000,-13.817,0.323,1,1
32,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6XSqJyqXSAz3O6xqVsbX8G,Defeating Death,U108,14,2020-12-18,Sanctuary Of Sounds,0.629,0.0928,90.012,0.0526,0.0341,0.481,0.493,430667,-10.091,0.215,0,5
33,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,6XSqJyqXSAz3O6xqVsbX8G,Defeating Death,U108,14,2020-12-18,Sanctuary Of Sounds,0.629,0.0928,90.012,0.0526,0.0341,0.481,0.493,430667,-10.091,0.215,0,5
34,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,67mSO0l0KKmDmdW1z5PwQ7,Playing God,Polyphia,36,2022-05-10,Sanctuary Of Sounds,0.789,0.114,137.06,0.0328,0.0395,0.812,0.601,205926,-6.822,0.315,0,4
35,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5EiYStrMH8anUZi6FMizZK,My Everything: Mama Deva Deva,Jahnavi Harrison,33,2019-06-08,Sanctuary Of Sounds,0.312,0.069,83.047,0.0444,0.606,1.74e-05,0.52,266053,-11.672,0.205,0,10
36,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0nSsljuVjIAmM7Qrjkgt15,Realize - Original Mix,Sattyananda,0,2012-01-21,Sanctuary Of Sounds,0.397,0.0667,94.002,0.0412,0.498,0.527,0.639,268085,-13.893,0.315,1,2
37,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0nSsljuVjIAmM7Qrjkgt15,Realize - Original Mix,Sattyananda,0,2012-01-21,Sanctuary Of Sounds,0.397,0.0667,94.002,0.0412,0.498,0.527,0.639,268085,-13.893,0.315,1,2
38,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,49sQb4u299Qxm4bAsSUt46,Bhavani Dayani - Psycrain Remix,Shanti People,18,2020-07-27,Sanctuary Of Sounds,0.607,0.0942,138.015,0.0445,0.0434,0.658,0.701,367000,-11.088,0.254,0,9
39,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5mNpu5iWh4vB4FY7v38K9G,Shiva Tandava Stotram,Shanti People,22,2016-11-14,Sanctuary Of Sounds,0.813,0.0767,140.001,0.0346,0.00105,0.00767,0.338,365143,-6.092,0.161,1,7
40,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,0C8xrXQ9Qgot9u6C15CRFG,Tandava (Psilocybian Remix),Shanti People,30,2016-05-23,Sanctuary Of Sounds,0.884,0.186,147.029,0.0523,0.000119,0.458,0.496,387347,-4.641,0.0394,1,7
41,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4CrOmOVIeCIuTuyaNe74qY,Mantra,Troja,25,2016-11-28,Sanctuary Of Sounds,0.487,0.079,120.003,0.087,0.0252,0.909,0.818,436000,-10.187,0.188,1,8
42,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7gIQxUowpyuaGn78lOGwgP,W-Zone - Original Mix,Harri Agnel,11,2018-03-05,Sanctuary Of Sounds,0.337,0.651,106.989,0.0775,0.00476,0.801,0.814,449159,-16.245,0.286,0,10
43,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,7gIQxUowpyuaGn78lOGwgP,W-Zone - Original Mix,Harri Agnel,11,2018-03-05,Sanctuary Of Sounds,0.337,0.651,106.989,0.0775,0.00476,0.801,0.814,449159,-16.245,0.286,0,10
44,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,5FDQpqHAGEFqsQ32brIEhO,Jai Hanuman,Shaman's Dream,22,2005-06-01,Sanctuary Of Sounds,0.79,0.814,77.998,0.047,0.21,0.0924,0.562,714601,-10.123,0.311,0,4
45,spotify:playlist:7nAScwBKXcvE6V2oe6KQkb,4CcjPkUFEPcMtnCIltWLnF,Шанти,U108,18,2022-10-07,Sanctuary Of Sounds,0.826,0.182,99.986,0.133,0.0682,0.0357,0.762,326400,-7.884,0.362,1,5
