,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
53,Dhyana Dan,Eucalyptus,25483,2022-05-11 20:14:00,0.634,0.562,10.0,-12.421,0.0,0.0442,0.0419,0.801,0.0967,0.16,113.986,1yjV61XnOn5I5jzY3IaVpu,4.0
57,ODESZA,Across The Room - Tycho Remix,231910,2022-05-12 03:16:00,0.383,0.765,6.0,-7.295,1.0,0.0539,0.00371,6.08e-05,0.101,0.16,177.89,1nzLNeyk835Q9h1zPS4gr9,4.0
62,Tycho,Dye,252864,2022-05-12 03:27:00,0.547,0.759,9.0,-8.168,1.0,0.0308,0.34,0.932,0.235,0.3,156.035,3GLKuZMs9FHwoO9su6ZB5P,4.0
75,Tycho,Plains,197183,2022-05-12 06:06:00,0.581,0.788,8.0,-8.937,1.0,0.0371,0.0491,0.865,0.344,0.313,127.991,2ZxcZhExAOda6PMI7P1l3u,4.0
78,Tycho,Apogee,260446,2022-05-12 06:26:00,0.479,0.792,10.0,-6.605,0.0,0.0398,0.0498,0.826,0.345,0.586,175.957,4nyQemFggOoTA3qYRHuief,4.0
81,Unprocessed,Fear,282566,2022-05-12 11:36:00,0.669,0.937,6.0,-4.325,1.0,0.0397,0.302,0.783,0.118,0.344,110.008,7xkCeK3qzCyf43cF8yN7Xt,4.0
83,Bonobo,Heartbreak,22592,2022-05-12 11:41:00,0.624,0.457,0.0,-8.876,1.0,0.0494,0.557,0.0,0.128,0.586,129.758,2QfznFotJNZmnIEYFdzE5T,4.0
90,Bonobo,Break Apart,274693,2022-05-12 11:57:00,0.648,0.458,5.0,-15.169,1.0,0.0311,0.864,0.0944,0.366,0.0848,119.96,2pYvd6cHcAIMAM6xMD6nok,4.0
91,Bonobo,Days To Come,229520,2022-05-12 12:00:00,0.601,0.558,4.0,-8.353,0.0,0.0441,0.32,0.375,0.0732,0.416,92.948,1mRTSIs40qa2L7omBzQd1u,4.0
95,Bonobo,Terrapin,279933,2022-05-12 12:29:00,0.555,0.327,10.0,-16.399,1.0,0.0349,0.787,0.936,0.112,0.0392,152.02,44syVsiS6uTaLRDbr1QIfr,4.0
97,Birdy,Strange Birds,33847,2022-05-12 12:42:00,0.541,0.376,7.0,-7.68,0.0,0.0294,0.572,0.0,0.109,0.247,78.129,5qenS4Saf6EyIJ2yViBG9b,4.0
98,Eminem,Space Bound,66356,2022-05-12 12:43:00,0.668,0.886,0.0,-3.474,1.0,0.117,0.0417,0.0,0.459,0.503,142.002,0sHW1jXe6Sou3437gJQNGA,4.0
100,Koop,I See a Different You,6090,2022-05-12 12:45:00,0.616,0.694,10.0,-8.168,0.0,0.0325,0.407,7.19e-05,0.361,0.703,124.051,3vm0aEj2SMGtncYdjU2DI7,4.0
102,Nancy Sinatra,Bang Bang (My Baby Shot Me Down),63809,2022-05-12 12:45:00,0.433,0.174,5.0,-18.791,0.0,0.0537,0.982,0.101,0.111,0.366,95.802,4JLcAU2xY90qTkTSNM1lUa,4.0
104,Billie Holiday,Don't Explain,3661,2022-05-12 12:46:00,0.202,0.394,0.0,-9.693,0.0,0.0291,0.0799,3.93e-05,0.0904,0.0909,74.853,4aTIy3tZ3THeVp3eu6nsw8,4.0
105,Françoise Hardy,Le temps de l'amour,4403,2022-05-12 12:46:00,0.586,0.412,8.0,-10.116,0.0,0.0334,0.798,0.0,0.152,0.706,132.199,6rqUOLt9dpfMANLMKTzoWj,4.0
107,Nouvelle Vague,In a Manner of Speaking,6910,2022-05-12 12:46:00,0.805,0.337,6.0,-12.664,1.0,0.0363,0.755,0.00783,0.11,0.643,119.98,4ygRdvjxDYngbgddCtXDjT,4.0
109,Madeleine Peyroux,Dance Me To The End Of Love,6995,2022-05-12 12:46:00,0.588,0.38,7.0,-11.879,0.0,0.0251,0.269,8.36e-06,0.0741,0.502,132.885,3mFzIFFFmEXTQs6BDAK2ZZ,4.0
110,Ali Eskandarian,Heather,2354,2022-05-12 12:46:00,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,4xqrdfXkTW4T0RauPLv3WA,3.0
112,Hooverphonic,Mad About You,163874,2022-05-12 12:49:00,0.386,0.445,11.0,-11.713,0.0,0.0377,0.606,0.000243,0.702,0.188,77.881,5YwVDOWMKH7T0KtvpPSESQ,4.0
116,Bonobo,Noctuary,36090,2022-05-12 12:52:00,0.667,0.299,7.0,-8.98,0.0,0.0392,0.751,0.839,0.204,0.382,90.016,1sVPnm3MQqQGaCUH1OO8NV,4.0
138,Yom,Longing for the Beat,235046,2022-05-12 16:50:00,0.729,0.533,8.0,-14.175,1.0,0.148,0.813,0.94,0.102,0.465,143.984,26GeHiRhxctwQ0A99h24jK,4.0
141,Hiatus,Distancer,219000,2022-05-12 17:05:00,0.419,0.438,0.0,-9.116,1.0,0.0354,0.287,0.027,0.144,0.193,84.914,3M2LNf168NY4jBalwpse6T,4.0
146,Radiohead,Everything In Its Right Place,5481,2022-05-12 17:23:00,0.296,0.463,5.0,-11.412,0.0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,2kRFrWaLWiKq48YYVdGcm8,5.0
147,trentemøller,In The Gloaming,20372,2022-05-12 17:23:00,0.513,0.884,7.0,-8.038,1.0,0.046,0.0703,0.573,0.12,0.236,122.997,4yBeFGhdgRPBgpDERfHkFT,4.0
154,The Verve,The Drugs Don't Work,63415,2022-05-12 22:28:00,0.442,0.52,0.0,-8.648,1.0,0.0261,0.184,0.0,0.154,0.177,77.437,15kLz0zNFdtsaJdXKSGmTU,4.0
159,HVOB,Panama - Edit,1026,2022-05-12 22:40:00,0.574,0.334,6.0,-12.622,0.0,0.191,0.683,0.426,0.0934,0.411,118.004,3ox0xz7cCUBjFLsx8mrZmK,4.0
161,Martin Roth,An Analog Guy in a Digital World,197899,2022-05-12 22:44:00,0.611,0.502,9.0,-16.283,0.0,0.0415,0.546,0.888,0.0732,0.141,114.988,1CNvWuZSW8wiTmz6H011xU,4.0
163,L'Impératrice,Fou,355062,2022-05-12 22:50:00,0.652,0.627,8.0,-7.246,1.0,0.0617,0.298,0.0,0.378,0.692,111.944,7DhruOVt2cgzOzwNLwM18E,5.0
166,Bonobo,Figures,229666,2022-05-12 23:06:00,0.296,0.4,10.0,-11.609,0.0,0.0462,0.564,0.13,0.116,0.184,88.857,4MSKGtnxTdqIypqwTDY3em,3.0
