,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Tamasat,0.559,0.877,10.0,-6.513,1.0,0.0761,0.0397,0.00013,0.0665,0.455,120.023,audio_features,3xneNtp13qVKLKTCeW8M4T,spotify:track:3xneNtp13qVKLKTCeW8M4T,https://api.spotify.com/v1/tracks/3xneNtp13qVKLKTCeW8M4T,https://api.spotify.com/v1/audio-analysis/3xneNtp13qVKLKTCeW8M4T,528000.0,4.0
Mývatn,0.189,0.211,8.0,-18.551,0.0,0.0381,0.942,0.869,0.111,0.0539,138.435,audio_features,2ywA8MIqyxA8i2SEnX6W2Q,spotify:track:2ywA8MIqyxA8i2SEnX6W2Q,https://api.spotify.com/v1/tracks/2ywA8MIqyxA8i2SEnX6W2Q,https://api.spotify.com/v1/audio-analysis/2ywA8MIqyxA8i2SEnX6W2Q,270933.0,5.0
Gimme That Hope,,,,,,,,,,,,,,,,,,
Gloomynescence,0.69,0.615,4.0,-6.695,0.0,0.0414,0.0769,0.377,0.0827,0.263,100.003,audio_features,0JeggOzuR1ibYrcxsD0OGT,spotify:track:0JeggOzuR1ibYrcxsD0OGT,https://api.spotify.com/v1/tracks/0JeggOzuR1ibYrcxsD0OGT,https://api.spotify.com/v1/audio-analysis/0JeggOzuR1ibYrcxsD0OGT,410890.0,4.0
In My Life - Remastered 2009,0.688,0.435,9.0,-11.359,1.0,0.0323,0.449,0.0,0.113,0.435,103.239,audio_features,3KfbEIOC7YIv90FIfNSZpo,spotify:track:3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/tracks/3KfbEIOC7YIv90FIfNSZpo,https://api.spotify.com/v1/audio-analysis/3KfbEIOC7YIv90FIfNSZpo,146333.0,4.0
When You Were Young,0.467,0.988,11.0,-3.313,1.0,0.112,0.000152,0.0484,0.28,0.321,130.433,audio_features,70wYA8oYHoMzhRRkARoMhU,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,220427.0,4.0
Shadows (feat. Lou Stone),0.671,0.533,11.0,-9.103,0.0,0.0333,0.0675,0.0355,0.363,0.358,111.042,audio_features,3padpZlNLd0WKqRQ8C0jmE,spotify:track:3padpZlNLd0WKqRQ8C0jmE,https://api.spotify.com/v1/tracks/3padpZlNLd0WKqRQ8C0jmE,https://api.spotify.com/v1/audio-analysis/3padpZlNLd0WKqRQ8C0jmE,317720.0,4.0
Borneo,0.823,0.597,1.0,-8.27,0.0,0.0766,0.119,0.751,0.0992,0.144,127.004,audio_features,2Y0dxNvDObPrPOvTLhWiPz,spotify:track:2Y0dxNvDObPrPOvTLhWiPz,https://api.spotify.com/v1/tracks/2Y0dxNvDObPrPOvTLhWiPz,https://api.spotify.com/v1/audio-analysis/2Y0dxNvDObPrPOvTLhWiPz,335222.0,4.0
I Came Running,0.655,0.779,7.0,-7.316,0.0,0.0495,0.0887,0.841,0.128,0.146,89.995,audio_features,7G8xNxQAWiBPAVgBqEVI7o,spotify:track:7G8xNxQAWiBPAVgBqEVI7o,https://api.spotify.com/v1/tracks/7G8xNxQAWiBPAVgBqEVI7o,https://api.spotify.com/v1/audio-analysis/7G8xNxQAWiBPAVgBqEVI7o,239107.0,4.0
"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix",0.681,0.915,0.0,-7.549,0.0,0.0423,0.00102,0.413,0.0731,0.109,121.996,audio_features,40MXr7BMh3ShPf2b9giSRt,spotify:track:40MXr7BMh3ShPf2b9giSRt,https://api.spotify.com/v1/tracks/40MXr7BMh3ShPf2b9giSRt,https://api.spotify.com/v1/audio-analysis/40MXr7BMh3ShPf2b9giSRt,436721.0,4.0
